zip_codes,PM2.5mean,HouseholdIncomeAverage,CovidTotalCases,AsthmaCount,zip_codes
11101 ,6.8,99605,1717,2,11101
11102 ,6.8,94247,1951,2,11102
11103 ,6.8,92751,1975,1,11103
11105 ,6.8,109722,1452,1,11105
11106 ,6.8,88672,2134,2,11106
11354 ,6.2,63568,3128,0,11354
11355 ,6.2,62444,4908,0,11355
11357 ,6.2,98249,1680,0,11357
11358 ,6.2,91561,1827,0,11358
11361 ,6,118320,822,0,11361
11364 ,6,101723,1529,0,11364
11365 ,6,96824,1652,0,11365
11367 ,6,83504,2791,0,11367
11368 ,6.6,67355,8935,1,11368
11369 ,6.6,72115,3486,0,11369
11370 ,6.6,95689,2639,0,11370
11372 ,6.6,79621,5220,1,11372
11373 ,6.6,69952,7347,1,11373
11374 ,6.1,87191,3144,0,11374
11375 ,6.1,112988,4075,0,11375
11377 ,6.6,77057,6621,1,11377
11378 ,6.6,98114,2331,0,11378
11379 ,6.1,103983,2467,0,11379
11385 ,6.1,87853,6908,1,11385
11412 ,6,99113,2555,1,11412
11413 ,5.8,107801,1948,1,11413
11417 ,5.9,97379,2401,0,11417
11418 ,5.9,90895,2152,1,11418
11419 ,5.9,94196,4188,0,11419
11420 ,5.9,97684,3964,0,11420
11421 ,5.9,92030,3429,0,11421
11422 ,5.8,102173,2131,0,11422
11426 ,5.8,109722,1452,0,11426
11427 ,5.8,98767,1588,0,11427
11432 ,6,89455,3506,1,11432
11433 ,6,74434,3506,1,11433
11434 ,6,87082,2842,1,11434
11435 ,6,83061,4193,1,11435
11691 ,5.3,70968,3559,5,11691
11693 ,5.3,113308,1013,1,11693
